f_FS_mean,f_PT_mean,f_EC_mean,f_PD_mean,f_IRI_total
0.43749999999999967,0.24999999999999986,0.14285714285714288,0.6111111111111114,0.340909090909091
0.18749999999999972,0.5714285714285714,0.6,0.16666666666666663,0.340909090909091
0.3749999999999997,0.5,0.35714285714285704,0.5,0.40909090909090917
0.24999999999999986,0.5714285714285714,0.14285714285714288,0.08333333333333331,0.20454545454545459
0.01,0.16666666666666657,0.01,0.01,0.01
0.5,0.24999999999999986,0.8,0.16666666666666663,0.4090909090909089
0.43749999999999967,0.24999999999999986,0.4285714285714288,0.01,0.25000000000000017
0.5624999999999999,0.4166666666666667,0.5,0.6666666666666666,0.5652173913043479
0.75,0.7142857142857142,0.21428571428571425,0.01,0.4318181818181818
0.01,0.16666666666666657,0.01,0.4166666666666667,0.01
0.6875,0.4166666666666667,0.14285714285714288,0.08333333333333331,0.3181818181818186
0.75,0.7857142857142856,0.7,0.5,0.7173913043478262
0.3749999999999997,0.3333333333333337,0.28571428571428564,0.33333333333333337,0.2954545454545454
0.99,0.99,0.8,0.9444444444444442,0.99
0.01,0.01,0.01,0.01,0.01
0.3124999999999998,0.7142857142857142,0.4285714285714288,0.5555555555555555,0.5
0.6875,0.5,0.5,0.7222222222222221,0.6521739130434786
0.01,0.01,0.01,0.01,0.01
0.6875,0.4166666666666667,0.5,0.5555555555555555,0.5652173913043479
0.3749999999999997,0.6428571428571428,0.7,0.7777777777777777,0.6521739130434783
0.6249999999999999,0.16666666666666657,0.5,0.6111111111111114,0.5
0.6875,0.9285714285714282,0.6,0.16666666666666663,0.6304347826086956
0.6875,0.5,0.4285714285714288,0.5,0.5434782608695653
0.3749999999999997,0.4166666666666667,0.4285714285714288,0.4166666666666667,0.38636363636363624
0.5624999999999999,0.16666666666666657,0.21428571428571425,0.6111111111111114,0.38636363636363624
0.6249999999999999,0.7857142857142856,0.4285714285714288,0.16666666666666663,0.5217391304347825
0.18749999999999972,0.5714285714285714,0.35714285714285704,0.08333333333333331,0.25000000000000017
0.3124999999999998,0.08333333333333329,0.28571428571428564,0.4166666666666667,0.2272727272727272
0.75,0.5,0.4285714285714288,0.2499999999999998,0.5
0.5,0.5,0.6,0.5555555555555555,0.5434782608695653
0.8125,0.5,0.6,0.5,0.6304347826086956
0.3749999999999997,0.5714285714285714,0.5,0.4166666666666667,0.4545454545454544
0.06249999999999994,0.01,0.21428571428571425,0.2499999999999998,0.022727272727272638
0.6875,0.5,0.6,0.6666666666666666,0.6521739130434786
