respondent_id,year,age,gender,ses,AC1,AC2,AC3,FS1,EC2,PT3,EC4,FS5,PD6,FS7,PT8,EC9,PD10,PT11,FS12,PD13,EC14,PT15,FS16,PD17,EC18,PD19,EC20,PT21,EC22,FS23,PD24,PT25,FS26,PD27,PT28,FS_mean,PT_mean,EC_mean,PD_mean,IRI_total,qc_fail_count,md_score,is_outlier
430,2023,18.0,1.0,2.0,,,,3,3,3,3,2,3,4,3,3,3,2,2,3,3,3,3,2,2,3,3,3,3,2,3,4,3,3,3,2.7142857142857144,3.0,2.857142857142857,2.857142857142857,2.857142857142857,0,4.066195566226423,False
431,2023,18.0,1.0,3.0,,,,5,3,5,3,3,4,1,5,1,5,3,4,2,3,1,3,5,2,1,1,4,5,1,2,1,2,2,3,2.7142857142857144,3.142857142857143,2.5714285714285716,3.0,2.857142857142857,0,7.8055692305440045,True
432,2023,19.0,1.0,1.0,,,,5,4,2,4,2,2,4,4,4,4,3,3,2,2,3,4,3,2,2,3,4,4,4,3,2,2,2,3,3.4285714285714284,3.0,3.2857142857142856,2.5714285714285716,3.0714285714285716,0,5.006944902930162,False
433,2023,19.0,1.0,1.0,,,,2,3,5,3,2,2,3,4,4,1,2,4,4,2,2,1,2,4,3,1,2,1,2,2,2,1,1,2,2.142857142857143,2.7142857142857144,2.5714285714285716,2.142857142857143,2.392857142857143,0,5.26107306774015,False
434,2023,18.0,1.0,1.0,,,,2,3,4,4,2,3,5,3,2,1,3,5,4,3,4,1,4,4,4,3,2,3,2,3,2,1,1,1,2.5714285714285716,2.7142857142857144,3.142857142857143,2.857142857142857,2.8214285714285716,0,5.148637538071102,False
435,2023,18.0,1.0,2.0,,,,2,2,3,3,2,2,3,4,3,3,4,1,2,2,3,3,2,4,3,2,4,4,4,1,3,1,1,3,2.2857142857142856,3.4285714285714284,2.857142857142857,2.0,2.642857142857143,0,4.904161121616131,False
436,2023,18.0,2.0,2.0,,,,4,2,4,2,3,5,1,5,3,4,3,4,1,2,3,4,2,4,4,3,4,2,4,4,4,5,3,3,3.5714285714285716,3.7142857142857144,2.5714285714285716,3.2857142857142856,3.2857142857142856,0,6.01728101478778,False
437,2023,19.0,1.0,2.0,,,,4,4,4,2,2,4,3,4,3,2,4,3,3,2,4,3,3,4,2,2,4,4,3,2,4,4,2,3,3.142857142857143,3.857142857142857,3.0,2.5714285714285716,3.142857142857143,0,4.09990867466626,False
438,2023,19.0,1.0,2.0,,,,2,2,4,3,3,1,3,3,2,1,4,4,2,3,5,2,4,4,3,2,3,2,2,3,2,3,2,1,2.7142857142857144,3.142857142857143,2.5714285714285716,2.2857142857142856,2.678571428571429,0,5.401465922539424,False
439,2023,18.0,1.0,1.0,,,,3,3,4,4,1,4,2,4,3,4,4,3,2,4,2,2,4,5,5,3,3,5,4,5,3,2,4,4,2.4285714285714284,3.4285714285714284,3.857142857142857,4.0,3.4285714285714284,0,6.0189015473286895,False
