,FS_mean,PT_mean,EC_mean,PD_mean,IRI_total
count,1138.0,1138.0,1138.0,1138.0,1138.0
mean,3.1021842832036155,3.598041677127793,3.448029123776048,2.5601305548581474,3.1770964097414014
std,0.7144961865347368,0.6330981014775598,0.6432707747859077,0.6733579389610873,0.44604998254821054
min,1.4285714285714286,1.4285714285714286,1.2857142857142858,1.0,1.75
25%,2.5714285714285716,3.142857142857143,3.0,2.142857142857143,2.892857142857143
50%,3.0,3.5714285714285716,3.4285714285714284,2.5714285714285716,3.1428571428571432
75%,3.5714285714285716,4.0,3.857142857142857,3.0,3.4910714285714284
max,5.0,5.0,5.0,4.857142857142857,4.5
