,FS_mean,PT_mean,EC_mean,PD_mean,IRI_total
count,1083.0,1083.0,1083.0,1083.0,1083.0
mean,3.100778261443081,3.6071758343226485,3.4608890647671813,2.5585015169502707,3.1818361693707957
std,0.7066002946107003,0.6210800713136941,0.6225419467774513,0.6599498613299238,0.4389261998374017
min,1.4285714285714286,1.4285714285714286,1.2857142857142858,1.0,1.8214285714285714
25%,2.5714285714285716,3.142857142857143,3.0,2.142857142857143,2.892857142857143
50%,3.0,3.5714285714285716,3.4285714285714284,2.5714285714285716,3.1428571428571432
75%,3.5714285714285716,4.0,3.857142857142857,3.0,3.4642857142857144
max,5.0,5.0,5.0,4.428571428571429,4.5
