,FS_mean,PT_mean,EC_mean,PD_mean,IRI_total
count,2081.0,2081.0,2081.0,2081.0,2081.0
mean,3.1270680304798515,3.5837852680716686,3.4750463376124117,2.6072629916935544,3.1982906569643714
std,0.7229866995664076,0.6222619030625599,0.6284305802333596,0.6827018668314844,0.44528465598740186
min,1.0,1.4285714285714286,1.0,1.0,1.7142857142857144
25%,2.5714285714285716,3.142857142857143,3.0,2.142857142857143,2.8928571428571432
50%,3.142857142857143,3.5714285714285716,3.4285714285714284,2.5714285714285716,3.1785714285714284
75%,3.5714285714285716,4.0,3.857142857142857,3.0,3.5
max,5.0,5.0,5.0,5.0,4.785714285714286
