lval,op,rval,Estimate,Std. Err,z-value,p-value
FS1,~,FS,1.0,-,-,-
FS5,~,FS,1.6024076287237576,0.11097285635756352,14.439635792974734,0.0
FS7,~,FS,-0.006002084079319068,0.06147512844220537,-0.09763434792762044,0.9222226490915009
FS12,~,FS,0.42117382233267914,0.06727122388268038,6.260831868629842,3.82929243869512e-10
FS16,~,FS,1.6912655146238293,0.11460582226072162,14.757239041150465,0.0
FS23,~,FS,1.7160352685733327,0.11227991891398217,15.283545670109598,0.0
FS26,~,FS,1.5895766503424054,0.10787720273757483,14.735056249043831,0.0
PT3,~,PT,1.0,-,-,-
PT8,~,PT,2.0224736650332247,0.2506135092319664,8.07009036034512,6.661338147750939e-16
PT11,~,PT,2.750358893420117,0.33105573904008323,8.307842363303068,0.0
PT15,~,PT,0.7273734990337378,0.16296364999608126,4.46340947227658,8.066568796483153e-06
PT21,~,PT,2.349583039131447,0.28586308688318285,8.219260012690546,2.220446049250313e-16
PT25,~,PT,2.375252916444641,0.29620942858692506,8.018829541543731,1.1102230246251565e-15
PT28,~,PT,2.479425721887299,0.30589452097063957,8.10549242272036,4.440892098500626e-16
EC2,~,EC,1.0,-,-,-
EC4,~,EC,0.17473048234304342,0.05268958262092014,3.3162244536427834,0.00091242515081702
EC9,~,EC,0.8743432306130235,0.06086031671034456,14.366393043269246,0.0
EC14,~,EC,0.30162122178966577,0.052254548480457484,5.772152483466506,7.826524095477794e-09
EC18,~,EC,0.12579819508386325,0.04905744646519747,2.5643037733434255,0.010338301847550246
EC20,~,EC,1.3171361486113669,0.07684389319941975,17.14041407527452,0.0
EC22,~,EC,1.4465809617634355,0.08273068712273465,17.48542181935323,0.0
PD6,~,PD,1.0,-,-,-
PD10,~,PD,0.8914896914999767,0.04601956823388427,19.371969918314004,0.0
PD13,~,PD,0.37041090600246795,0.042490538592109085,8.717491429081095,0.0
PD17,~,PD,1.1042716913035209,0.04946753921644079,22.32315794908568,0.0
PD19,~,PD,0.1949243783411731,0.03736254598486206,5.217106414935755,1.8173985849578855e-07
PD24,~,PD,0.9083782025076594,0.04152431833150079,21.875812511452555,0.0
PD27,~,PD,0.6527734898594578,0.03572286607420476,18.273267561601052,0.0
EC,~~,EC,0.36645554939244523,0.037419630589570055,9.793136479674228,0.0
FS,~~,FS,0.2808192758988226,0.03531018969236166,7.952924590252678,1.7763568394002505e-15
FS,~~,EC,0.2250470594983387,0.021012375274556513,10.710215125471022,0.0
FS,~~,PD,0.1977066543915168,0.020072558758096198,9.849598985576412,0.0
FS,~~,PT,0.060541576126410625,0.009318182244542601,6.497144457050192,8.185896405166204e-11
PD,~~,PD,0.6212765871317153,0.0477598321167929,13.008349476594141,0.0
PD,~~,EC,0.3241888070731138,0.025974105780588858,12.48123072259556,0.0
PT,~~,PT,0.0672775380034393,0.01581593092131116,4.253782994748192,2.1018900546732056e-05
PT,~~,EC,0.09811802255804514,0.013666663876592546,7.179368969402732,7.003286839335487e-13
PT,~~,PD,0.008615397148651373,0.00727256581982327,1.184643406592928,0.23615846717657307
EC14,~~,EC14,0.9823208677754032,0.0393579724086523,24.958624838470975,0.0
EC18,~~,EC18,0.9226047558845587,0.03677187914617337,25.089953988807196,0.0
EC2,~~,EC2,0.8342694272459725,0.0363513151281269,22.950185551265097,0.0
EC20,~~,EC20,0.7493949942926937,0.03614669942990483,20.73204486415635,0.0
EC22,~~,EC22,0.7908002576153171,0.039484936241746364,20.027897544360155,0.0
EC4,~~,EC4,1.0534453713860692,0.04202114567640894,25.069410993056618,0.0
EC9,~~,EC9,0.7642110155913477,0.032766880679499684,23.322666049385262,0.0
FS1,~~,FS1,1.0480148236504716,0.043927740498076025,23.85769929761162,0.0
FS12,~~,FS12,1.1599740671922196,0.04655041182830918,24.918663908830858,0.0
FS16,~~,FS16,0.8014677303440618,0.039476619995210294,20.30233921802327,0.0
FS23,~~,FS23,0.5248233467148723,0.02993603977494273,17.531488822266734,0.0
FS26,~~,FS26,0.7189228992737473,0.03528044161738143,20.37737812497171,0.0
FS5,~~,FS5,0.8817920655645288,0.04157817205014758,21.20805273689734,0.0
FS7,~~,FS7,1.1290758775759175,0.04494787596325296,25.119671471770356,0.0
PD10,~~,PD10,0.77426141917881,0.03517484707407567,22.011792049195265,0.0
PD13,~~,PD13,1.0830583628586914,0.043775986049507665,24.74092443306897,0.0
PD17,~~,PD17,0.6362550955988406,0.03302219572899676,19.267498163996347,0.0
PD19,~~,PD19,0.8896655131975051,0.035597790050547556,24.99215574644439,0.0
PD24,~~,PD24,0.47975401327182166,0.024142605133789425,19.871675429943455,0.0
PD27,~~,PD27,0.5090283841630447,0.022531539348910633,22.59181568813068,0.0
PD6,~~,PD6,0.6703889099243243,0.03257941197941001,20.57707211927057,0.0
PT11,~~,PT11,0.46225655304662755,0.025004552335124205,18.486895779325877,0.0
PT15,~~,PT15,1.3344513852015965,0.05345810492533182,24.962564367751966,0.0
PT21,~~,PT21,0.4674024214652091,0.02298077403885787,20.338845882847377,0.0
PT25,~~,PT25,0.7768452052845509,0.03498828278779519,22.20301036132392,0.0
PT28,~~,PT28,0.703914186000036,0.032584861284666894,21.60249140939774,0.0
PT3,~~,PT3,0.9181162974121818,0.03718959682371159,24.68744960424297,0.0
PT8,~~,PT8,0.5068475033282971,0.02317167983944104,21.87357614201569,0.0
