,FS_mean,PT_mean,EC_mean,PD_mean
FS_mean,1.0,0.2471640483575847,0.4313165966039688,0.2841492464593484
PT_mean,0.2471640483575847,1.0,0.5040016486993456,-0.1309402784863816
EC_mean,0.4313165966039688,0.5040016486993456,1.0,0.28060313287050426
PD_mean,0.2841492464593484,-0.1309402784863816,0.28060313287050426,1.0
