lval,op,rval,Estimate,Std. Err,z-value,p-value
FS1,~,FS,1.0,-,-,-
FS5,~,FS,1.75526372181671,0.10770076691169185,16.297597242177698,0.0
FS7,~,FS,0.15462698293933735,0.05654673546392605,2.7344988471570923,0.006247531414826923
FS12,~,FS,0.4193334479077035,0.06063849106810234,6.91530149438976,4.668709863153708e-12
FS16,~,FS,1.9193534290581526,0.11498005492232186,16.692924962839296,0.0
FS23,~,FS,1.9003489618061187,0.11154116824669126,17.037197939205313,0.0
FS26,~,FS,1.8273122197290665,0.10915700775196782,16.740219041771823,0.0
PT3,~,PT,1.0,-,-,-
PT8,~,PT,1.9447027535092958,0.19384806568392265,10.032097801121123,0.0
PT11,~,PT,2.498875679336158,0.2423942345536007,10.309138267780341,0.0
PT15,~,PT,0.8684328765233479,0.13482049002116814,6.441401276471804,1.18375531599213e-10
PT21,~,PT,2.1554580890984223,0.21308673197151967,10.115402630401206,0.0
PT25,~,PT,2.3357687121289286,0.23294449021258956,10.027147282973873,0.0
PT28,~,PT,2.1307262465822263,0.2149711835503597,9.91168309808912,0.0
EC2,~,EC,1.0,-,-,-
EC4,~,EC,0.21313515441494452,0.046498633493590534,4.583686409617603,4.5684923080102635e-06
EC9,~,EC,0.8352480722174792,0.05132893624536448,16.272460200782714,0.0
EC14,~,EC,0.2943933924060784,0.04609990706610092,6.385986678402038,1.702957774796232e-10
EC18,~,EC,0.19663054796434704,0.0422896851130417,4.649610122045071,3.325630818062919e-06
EC20,~,EC,1.3425333889041624,0.06654204845371302,20.175714756029183,0.0
EC22,~,EC,1.4348882550230218,0.06980622947671282,20.55530381398327,0.0
PD6,~,PD,1.0,-,-,-
PD10,~,PD,0.8703782413768388,0.03956491247698025,21.998740471402424,0.0
PD13,~,PD,0.40636506061821637,0.037182180201520705,10.929027249205454,0.0
PD17,~,PD,1.1861433012559857,0.04526156267555335,26.206415137107903,0.0
PD19,~,PD,0.23045724067562812,0.03277461292289883,7.03157780110903,2.042144231495513e-12
PD24,~,PD,0.99226228007158,0.03938616132747626,25.193170560497673,0.0
PD27,~,PD,0.7396314299264194,0.03340224352558785,22.143166201925336,0.0
EC,~~,EC,0.3408629081375696,0.029298773521035406,11.634033345498539,0.0
FS,~~,FS,0.22877354652861404,0.02583591723916769,8.854864505175554,0.0
FS,~~,EC,0.1825599457832489,0.014878346742042203,12.270176850705695,0.0
FS,~~,PT,0.0560176991539764,0.007091155649372088,7.899657251358884,2.886579864025407e-15
PD,~~,PD,0.5667637291461398,0.0374782227463105,15.122481473239331,0.0
PD,~~,EC,0.29807245336952826,0.019825284391153577,15.034964819344482,0.0
PD,~~,FS,0.17072971683773225,0.01459873474359734,11.694829711247095,0.0
PD,~~,PT,0.012712537342587345,0.005994585855927855,2.1206698254051446,0.03394959752837279
PT,~~,PT,0.07533514004727848,0.014131421030684096,5.331037825450771,9.765307429354664e-08
PT,~~,EC,0.09808277042330499,0.011040885873357326,8.883596075483775,0.0
EC14,~~,EC14,1.1450147596735896,0.035706799970300136,32.067134568034994,0.0
EC18,~~,EC18,0.9964713307527228,0.03098512068985549,32.15967240194766,0.0
EC2,~~,EC2,0.8963953243393094,0.03052362640036075,29.36726169271119,0.0
EC20,~~,EC20,0.8016552376069039,0.030618608510175983,26.181961773811334,0.0
EC22,~~,EC22,0.8016452033598868,0.031781048463006084,25.224001161188795,0.0
EC4,~~,EC4,1.2059562890223157,0.03749571597255159,32.162508641599565,0.0
EC9,~~,EC9,0.8501302334576122,0.028194664644672934,30.152166877717505,0.0
FS1,~~,FS1,1.1573127586521894,0.03735665923742457,30.980092498790487,0.0
FS12,~~,FS12,1.250773109035844,0.039025657830242276,32.05001987268306,0.0
FS16,~~,FS16,0.8351490669479733,0.032641320594083006,25.585639665380995,0.0
FS23,~~,FS23,0.5912122083767332,0.02570699572034224,22.998105838011327,0.0
FS26,~~,FS26,0.7283472653110723,0.02876847786891415,25.317546121297305,0.0
FS5,~~,FS5,0.9230733307622072,0.033884764712592476,27.24154464593131,0.0
FS7,~~,FS7,1.241061578222278,0.03850823821954792,32.22846942813525,0.0
PD10,~~,PD10,0.8381687985484895,0.02923687702125896,28.66820549644769,0.0
PD13,~~,PD13,1.1960204919960453,0.037711805992664986,31.7147498106285,0.0
PD17,~~,PD17,0.6823914173924347,0.028448728363387115,23.986710711705157,0.0
PD19,~~,PD19,0.9961633321128961,0.03108374690828828,32.047723687237585,0.0
PD24,~~,PD24,0.6043466664033273,0.023489891968736413,25.727945755644484,0.0
PD27,~~,PD27,0.5907681570648672,0.02067145915674239,28.578928684073954,0.0
PD6,~~,PD6,0.7837178548276499,0.02885165656950101,27.163703855706913,0.0
PT11,~~,PT11,0.5286394918010089,0.022104980758866202,23.914949193749433,0.0
PT15,~~,PT15,1.4221152974186466,0.044594659997703165,31.889811413743317,0.0
PT21,~~,PT21,0.6171605396084087,0.022893850051630155,26.957481515325394,0.0
PT25,~~,PT25,0.8438899064659899,0.03044709190059985,27.716601283081737,0.0
PT28,~~,PT28,0.8343996924782774,0.029333531282040342,28.445252105078094,0.0
PT3,~~,PT3,1.0365012857848808,0.03281263900646603,31.588476792404304,0.0
PT8,~~,PT8,0.5803058374259555,0.02096513907225375,27.679560598111177,0.0
