,FS_mean,PT_mean,EC_mean,PD_mean
FS_mean,1.0,0.24212194372495616,0.37721746260099176,0.297790680990821
PT_mean,0.24212194372495616,1.0,0.476229588355527,-0.08067773316545225
EC_mean,0.37721746260099176,0.476229588355527,1.0,0.2832170951148105
PD_mean,0.297790680990821,-0.08067773316545225,0.2832170951148105,1.0
